idx,Scenario,beta,rr_reinfection_once_recovered,prop_of_failures_developing_inh_R,prop_of_failures_developing_rif_R,cdr_start_time,cdr_final_level,tsr_start_time,fitness_inh_R,fitness_rif_R,fitness_mdr,prev_infectious_dispersion_param,notifications_dispersion_param,perc_strain_inh_R_dispersion_param,perc_strain_rif_R_dispersion_param,perc_strain_mdr_dispersion_param,loglikelihood,accept
run_5213,S_0,7.48210418020808,1.39983380256062,0.719121362925778,0.0356843266134712,1960.25413808969,0.552476218197262,1973.83280117202,1.08962578619865,0.810277242805819,1.08435341115985,0.000346501034206769,9021.40621394179,1.71196642661344,0.0124832199149729,0.543454286228814,-251.467357937357,0
run_5214,S_0,8.0403840186995,1.45554511378392,0.770487391977824,0.0145551774410928,1960.19621273123,0.500334368618915,1976.31098802105,1.10909221752182,0.866767429827311,1.08794527573484,0.000397468903421578,9133.74420643432,1.80411790569925,0.00964406207985158,0.554344093316883,-8.81603335159767,0
run_5215,S_0,7.44044445762511,1.44377331318773,0.779986561982845,0.0127326658915047,1960.01689245329,0.531664071928456,1974.77792269261,1.10347144212404,0.817695996724919,1.11507926273245,0.000370775047611217,9320.25530344838,1.8080754850121,0.0111935381754322,0.57401034257661,-16.466289859284,0
run_5216,S_0,7.21045955759338,1.48257239194,0.714037124703458,0.0220657665890408,1963.50551027489,0.572619754464579,1977.25341279795,1.08538955309998,0.858306345432842,1.0665277481457,0.000350994414483735,10201.7993744525,1.81714607480684,0.010280647780801,0.520766145414397,-73.7409708359433,0
run_5217,S_0,7.48868393454608,1.46836112995884,0.717828458104631,0.0123687250335426,1962.35748721688,0.571389140980825,1976.27102421254,1.0861897445732,0.826795457468375,1.06230403383551,0.000355648451225083,9487.69620778135,1.77272365986088,0.011150888413705,0.513837292763169,-15.0512155078512,0
run_5218,S_0,7.09790615703144,1.38215337984753,0.704514766250016,0.028411227995076,1961.96901004625,0.530339793261509,1975.36135443938,1.08962453356931,0.868114679793807,1.11141265333247,0.000348369019361946,10024.1013472979,1.77739498598752,0.0103587679399771,0.568594514338683,-170.711179047992,0
run_5219,S_0,7.17998545221171,1.45856063009939,0.774584979606285,0.0212490898743638,1961.4068917483,0.540154980705629,1975.75948441073,1.09894161003473,0.841385890570625,1.10866962881709,0.000363611341888864,9938.53790126904,1.84423760371469,0.0104518990829143,0.571768986564303,-33.7548044071893,0
run_5220,S_0,7.11753709634629,1.40883304148469,0.737860657532375,0.0150277774638257,1961.52118032481,0.541490296504853,1975.23206835633,1.08935366271462,0.813746687098246,1.10328807055452,0.00035010689924814,9707.64115015037,1.81902494605126,0.0109897466123243,0.562827847017889,-7.68047637744831,1
run_5221,S_0,6.77416977292367,1.26365625192673,0.66231553055689,0.0197195106398762,1960.58881203423,0.572754702131827,1970.95115352077,1.06121555074486,0.680516362971984,1.10432445547509,0.000284967213774542,8749.20870159044,1.70660464283252,0.0149450859913264,0.549318468124157,-17.0287048463967,0
run_5222,S_0,7.17389257843352,1.31365074045462,0.704086042911551,0.018658333634823,1959.64240024552,0.542955256955715,1971.82427200414,1.0786900632006,0.734299641248234,1.11655379462779,0.000322984267239067,8772.78091360002,1.7315330500114,0.0138029030516253,0.564490613348797,-10.9336698928126,0
run_5223,S_0,6.89924202332297,1.2191701708483,0.625860290625624,0.0260684793812294,1959.19067802252,0.615892287933813,1967.30147280837,1.04526485605556,0.577250945207612,1.09572737258066,0.000247224129740362,7722.15431380621,1.57754231281973,0.0194075694752187,0.526742980966353,-38.1380660082198,0
run_5224,S_0,7.33987294141729,1.46297262270604,0.743415581510656,0.0166506331081128,1962.15223528924,0.534086212799766,1977.89409343515,1.09628502158739,0.879908627829266,1.07099755843014,0.00037796568685189,9904.26629271189,1.84386048358527,0.00858124707216593,0.542092031079706,-12.9802850081253,0
run_5225,S_0,6.87287414412632,1.34604415377908,0.775618288147598,0.0137763316090048,1960.25289466829,0.503671208478641,1974.17180296404,1.10277462252012,0.795728552952822,1.14963959010312,0.000354269381677947,9684.84956876703,1.85452237397249,0.0106070161341621,0.619822769147672,-16.2137804522862,0
run_5226,S_0,7.17403872134064,1.3971703157253,0.713219782394243,0.0327869276054588,1963.20135121615,0.524481377569582,1977.10258649976,1.08977800620524,0.876914139363631,1.08665459142272,0.000357078525721897,10303.2572333584,1.8336007946695,0.00904267794484585,0.557907748157579,-417.137719996321,0
run_5227,S_0,6.89341560235644,1.39915457594371,0.752316133898223,0.0233905747016139,1961.77479243058,0.543348329384389,1975.44841485081,1.09502939700602,0.809016215485723,1.10810084896141,0.000346024880550629,9919.32712224037,1.82782844380714,0.0107657719161929,0.581887905731455,-48.7858602230812,0
run_5228,S_0,6.95786012966669,1.4115478452066,0.737485702309326,0.0270581494604776,1962.06228281673,0.553191485715634,1975.06780306627,1.08113761471072,0.807002526377534,1.09883840155196,0.000341067590034464,10005.6135757424,1.8372468201526,0.011546628858758,0.562060298295754,-93.9557856018743,0
run_5229,S_0,6.88262070304368,1.31105871242342,0.711875928450669,0.0202532159887798,1961.04480964289,0.53520008457655,1973.09953405993,1.0826308996684,0.757464925581898,1.12553400109726,0.000322093418310146,9460.1882628277,1.78210003145401,0.012480920562682,0.584937642182757,-12.4686943922509,0
run_5230,S_0,6.61526324507586,1.37267263541283,0.732819248639117,0.0228706136471667,1962.68359275299,0.548642891050283,1976.26135237661,1.08753325757608,0.818625582989909,1.10605853391793,0.000340874263711205,10245.6575350607,1.84694223203204,0.00969275305894159,0.580635802973121,-65.7517397576969,0
run_5231,S_0,6.91548882801196,1.29046429770987,0.697910021436084,0.0153769040946549,1959.28775914466,0.531991723115565,1971.0295335912,1.08242025135702,0.750552308462282,1.1523146090639,0.000315059128657531,9004.16432766926,1.72846705943243,0.013706081058855,0.588578150134459,-13.4720457594577,0
run_5232,S_0,7.45191114953257,1.38552391811891,0.684981090372078,0.0237515295114306,1961.69363114291,0.577765301987219,1974.66418684648,1.07464714197089,0.750538538764656,1.04128942350447,0.00033086506749676,8801.19860333158,1.72767719825227,0.0128260742172727,0.501174828935542,-46.3870394870498,0
